drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1201134,EFO_0000555,irritable bowel syndrome,4.0,LUBIPROSTONE
CHEMBL2103873,EFO_0001361,pulmonary arterial hypertension,4.0,
CHEMBL256907,EFO_0000764,HIV infection,4.0,MARAVIROC
CHEMBL256907,EFO_0000180,HIV-1 infection,4.0,MARAVIROC
CHEMBL2108427,EFO_0000545,infertility,3.0,MENOTROPINS
CHEMBL1200751,EFO_0000384,Crohn's disease,3.0,MERCAPTOPURINE
CHEMBL704,EFO_0000384,Crohn's disease,3.0,MESALAMINE
CHEMBL704,EFO_0005628,proctitis,4.0,MESALAMINE
CHEMBL704,EFO_0000729,ulcerative colitis,4.0,MESALAMINE
CHEMBL1703,EFO_0000400,diabetes mellitus,4.0,METFORMIN HYDROCHLORIDE
CHEMBL34259,EFO_0000384,Crohn's disease,3.0,METHOTREXATE
CHEMBL34259,EFO_0000685,rheumatoid arthritis,4.0,METHOTREXATE
CHEMBL1201770,HP_0002019,Constipation,4.0,METHYLNALTREXONE BROMIDE
CHEMBL796,EFO_0003888,attention deficit hyperactivity disorder,4.0,METHYLPHENIDATE
CHEMBL1722,EFO_0003888,attention deficit hyperactivity disorder,4.0,METHYLPHENIDATE HYDROCHLORIDE
CHEMBL650,EFO_0003929,relapsing-remitting multiple sclerosis,3.0,METHYLPREDNISOLONE
CHEMBL2356097,EFO_0000537,hypertension,4.0,METOPROLOL SUCCINATE
CHEMBL4297064,EFO_0005687,fibromyalgia,4.0,MILNACIPRAN HYDROCHLORIDE
CHEMBL802,EFO_0004191,androgenetic alopecia,4.0,
CHEMBL606,MP_0001914,hemorrhage,4.0,MISOPROSTOL
CHEMBL1373,EFO_0003888,attention deficit hyperactivity disorder,4.0,MODAFINIL
CHEMBL1373,EFO_0002610,cocaine dependence,3.0,MODAFINIL
CHEMBL1161,EFO_0005854,allergic rhinitis,4.0,MOMETASONE FUROATE
CHEMBL1161,EFO_0002460,hypertrophy,3.0,MOMETASONE FUROATE
CHEMBL1161,HP_0006536,Airway obstruction,4.0,MOMETASONE FUROATE
CHEMBL1161,EFO_0003956,seasonal allergic rhinitis,4.0,MOMETASONE FUROATE
CHEMBL2103744,EFO_0003843,pain,4.0,MORPHINE SULFATE
CHEMBL19019,EFO_0004699,gambling behaviour,3.0,
CHEMBL19019,EFO_0005611,opioid dependence,3.0,
CHEMBL154,EFO_0003843,pain,4.0,
CHEMBL1200806,EFO_0003843,pain,4.0,
CHEMBL1200806,EFO_0000685,rheumatoid arthritis,4.0,
CHEMBL1201607,EFO_0003929,relapsing-remitting multiple sclerosis,4.0,
CHEMBL1200326,EFO_0000537,hypertension,4.0,
CHEMBL1201536,EFO_0003768,nicotine dependence,3.0,
